dutch_word,english1,sentence1,english2,sentence2
"dagelijks","daily","Ze maakt dagelijks een wandeling.","every day","Hij leest dagelijks de krant."
"dak (het)","roof","Het dak lekt.","top","Ze stonden op het dak."
"dal (het)","valley","Het dal ligt tussen de bergen.","dip","Ze liepen door een smal dal."
"dalen","to descend","Het vliegtuig begon te dalen.","to decrease","De prijzen dalen langzaam."
"dame","lady","De dame kocht een jurk.","woman","Ze sprak met een dame."
"dan (bw)","then","Ze lachte, dan huilde ze.","than","Hij is groter dan ik."
"dan (vw)","if","Dan kun je komen.","in that case","Dan mag je beginnen."
"dank","thanks","Dank voor je hulp.","gratitude","Hij uitte zijn dank."
"dankbaar","grateful","Ze was dankbaar voor het cadeau.","thankful","Hij voelde zich dankbaar."
"danken","to thank","Ze dankte hem vriendelijk.","to express thanks","Ze danken hun ouders vaak."
"dankzij","thanks to","Dankzij hem slaagden we.","due to","Ze kwamen op tijd dankzij de trein."
"dansen","to dance","Ze gingen dansen op het feest.","to move rhythmically","Ze danste met haar vriend."
"dat (aanw vnw)","that","Dat boek is interessant.","this","Dat huis is groot."
"dat (betr vnw)","that","Het boek dat ik lees is spannend.","which","De hond dat blaft is groot."
"dat (vw)","that","Ik weet dat hij komt.","so that","Ze hoopt dat alles goed gaat."
"datum (het)","date","De datum staat op de brief.","day","Ze markeerde de datum in haar agenda."
"de","the","De hond speelt buiten.","the","De vrouw kookt."
"december","December","Ze vieren kerst in december.","last month of year","December is koud."
"deel (het)","part","Een deel van het werk is klaar.","portion","Ze deden een groot deel samen."
"deelnemen","to participate","Ze willen deelnemen aan de wedstrijd.","to join","Hij nam deel aan het gesprek."
"degelijk","solid","Ze maakte een degelijke tafel.","decent","Hij gaf een degelijk antwoord."
"definitief","definitive","Het besluit is definitief.","final","Ze maakten een definitieve afspraak."
"degelijk","solid","Het is degelijk gebouwd.","reliable","Hij leverde degelijk werk."
"degene / diegene","the one","Degene die belt, is mijn vriend.","that person","Diegene die hier werkt, is aardig."
"deken","blanket","Ze legde een deken op bed.","cover","Hij kocht een nieuwe deken."
"delen","to share","Ze willen hun ideeën delen.","to divide","Hij deelde de taart in stukken."
"democratie","democracy","Nederland is een democratie.","republic","Ze spraken over democratie."
"denken","to think","Ik denk dat hij gelijk heeft.","to imagine","Ze dacht na over het plan."
"dergelijk","such","Ze houden van dergelijke films.","similar","Hij wil dergelijke boeken lezen."
"detail (het)","detail","Ze keken naar elk detail.","particular","Het detail was belangrijk."
"deze","this","Deze man is mijn buur.","this one","Ik heb deze gekocht."
"dezelfde / hetzelfde","the same","Ze dragen dezelfde jas.","identical","Hij kocht hetzelfde boek."
"dicht","close","De winkel is dicht.","near","Ze staat dicht bij de deur."
"dichtbij","nearby","De school is dichtbij.","close","Hij woont dichtbij het centrum."
"die (aanw vnw)","that","Die jongen is mijn broer.","those","Die schoenen zijn duur."
"die (betr vnw)","who","De vrouw die praat is mijn tante.","that","Het boek die ik lees is leuk."
"dief","thief","De dief werd gepakt.","robber","Ze zagen een dief vluchten."
"diegene","the one","Diegene die helpt, is welkom.","that person","Diegene met de rode jas is mijn vriend."
"dienen","to serve","Hij dient het volk.","to be required","Het moet dienen als voorbeeld."
"dienst","service","De dienst begint om tien uur.","duty","Ze werken in dienst van de staat."
"diep","deep","Het water is diep.","profound","Hij voelde een diepe emotie."
"dier (het)","animal","Het dier liep weg.","creature","Ze verzorgden het dier."
"dik","thick","Het boek is dik.","fat","Hij is een beetje dik geworden."
"dikwijls","often","Ze komt dikwijls langs.","frequently","Hij is dikwijls te laat."
"ding (het)","thing","Pak dat ding eens.","object","Ze zochten naar dat ding."
"dinsdag","Tuesday","Dinsdag is de tweede werkdag.","Tues","Hij komt dinsdag op bezoek."
"diploma (het)","diploma","Ze haalde haar diploma.","certificate","Hij toonde zijn diploma."
"direct","direct","Hij gaf een direct antwoord.","straight","Ze gingen direct naar huis."
"directeur","director","De directeur sprak met de ouders.","manager","Ze belden de directeur."
"disco","disco","Ze gingen dansen in de disco.","club","De disco was druk bezocht."
"discussie","discussion","Ze hadden een interessante discussie.","debate","De discussie duurde lang."
"dit","this","Dit boek is leuk.","this one","Ik neem dit mee."
"dochter","daughter","Ze hebben een dochter.","girl child","Hun dochter is zes jaar."
"doden","to kill","Ze moesten het dier doden.","to slay","De soldaten doden vijanden."
"doek (de, het)","cloth","Ze kochten een doek voor het raam.","canvas","Het doek werd beschilderd."
"doel (het)","goal","Het doel is duidelijk.","purpose","Ze bereikten hun doel."
"doen","to do","Wat wil je doen?","to make","Ze moeten hun werk doen."
"dokter","doctor","Ze ging naar de dokter.","physician","De dokter gaf medicijnen."
"dom","stupid","Hij maakte een domme fout.","silly","Ze vond dat dom."
"dominee","minister","De dominee sprak in de kerk.","preacher","Ze luisterden naar de dominee."
"donderdag","Thursday","Ze gaan donderdag weg.","Thurs","Donderdag is de vierde dag."
"donker","dark","Het werd donker buiten.","dim","De kamer is donker."
"dood","dead","De plant is dood.","death","Hij vreest de dood."
"door (vz)","through","Ze liepen door het park.","by","Het raam werd ingeslagen door de wind."
"door (bw)","through","Ga door tot het einde.","onward","Ze werkte door tot laat."
"doorbrengen","to spend","Ze wil haar vakantie in Spanje doorbrengen.","to pass","Hij bracht zijn dagen door met lezen."
"doordat","because","Hij kwam te laat doordat de trein vertraagd was.","due to","Ze misten de film doordat ze in de file stonden."
"doordringen","to penetrate","Het water kan in de muur doordringen.","to realize","Het drong tot hem door dat hij fout zat."
"doorgaan","to continue","Ze willen met het project doorgaan.","to proceed","Het feest gaat door ondanks de regen."
"doorlopen","to walk through","Ze willen de gang doorlopen.","to continue","Hij liep door zonder te stoppen."
"doos","box","Ze openden een doos met boeken.","carton","Er stond een doos op tafel."
"dorp (het)","village","Het dorp is klein.","town","Ze wonen in een dorp bij de kust."
"dorst","thirst","Hij had dorst na het rennen.","parched","Ze leden dorst tijdens de tocht."
"douche","shower","Ze nam een warme douche.","bath","Hij staat onder de douche."
"dʼr","there","Ze is dʼr al.","she's there","Ik dacht dat ze dʼr was."
"draad","wire","De draad is gebroken.","thread","Hij naaide met een draad."
"draaien","to turn","Ze draaide de sleutel om.","to spin","Het wiel draait snel."
"dragen","to carry","Ze moet de tassen dragen.","to wear","Hij draagt een blauw pak."
"dreigen","to threaten","Ze dreigden met een staking.","to menace","Hij dreigde weg te gaan."
"drijven","to float","Het hout blijft drijven.","to drive","Ze dreven het vee naar de stal."
"dringen","to push","Ze drongen naar voren.","to crowd","Hij drong zich door de menigte."
"drinken","to drink","Ze drinken water.","to have a drink","Hij dronk een glas wijn."
"dromen","to dream","Ze droomde over vakantie.","to fantasize","Hij droomt van succes."
"droog","dry","Het is droog buiten.","arid","Ze hielden het droog tijdens de bui."
"droom","dream","Ze had een mooie droom.","wish","Zijn droom is om te reizen."
"drug","drug","Drugs zijn gevaarlijk.","narcotic","Ze verkochten illegale drugs."
"druk (de)","pressure","De druk in de band was laag.","force","De druk van het water is hoog."
"druk","busy","De winkel is druk.","crowded","Het is druk op straat."
"drukken","to press","Ze moesten op de knop drukken.","to print","Het bedrijf drukt boeken."
"dubbel","double","Ze kregen een dubbel bedrag.","twice","Het plezier was dubbel zo groot."
"duidelijk","clear","Het is duidelijk dat hij gelijk heeft.","obvious","Ze gaf een duidelijk antwoord."
"dun","thin","Het boek is dun.","slim","Ze droeg een dunne jas."
"duren","to last","De film zal twee uur duren.","to take","Het duurde lang voordat hij kwam."
"durven","to dare","Ze durfde te spreken voor de groep.","to risk","Hij durfde het water in te springen."
"dus","so","Ik was ziek, dus bleef ik thuis.","therefore","Ze dacht na en dus besloot ze te gaan."
"duur (de)","duration","De duur van de les is een uur.","length","Ze bespraken de duur van het contract."
"duur","expensive","Het huis is duur.","costly","De vakantie was erg duur."
"dwingen","to force","Hij dwong haar om te luisteren.","to compel","Ze dwongen de deur open."
"E","E","De letter E komt na D.","ee","Hij oefende de E."
"echt","real","Het verhaal is echt.","truly","Ze is echt aardig."
"echter","however","Ze wilde gaan, echter het regende.","but","Het lijkt goed, echter er zijn problemen."
"economie","economy","De economie groeit langzaam.","economics","Hij studeert economie."
"economisch","economic","Ze spraken over economisch beleid.","financial","Het land verkeert in economisch zwaar weer."
"een","a","Ze kocht een boek.","an","Hij gaf haar een kans."
"één","one","Ze hebben één zoon.","single","Er is maar één oplossing."
"eenheid","unit","De euro is een munteenheid.","unity","Ze voelden een eenheid in het team."
"eenmaal","once","Eenmaal daar aangekomen, begon het te regenen.","one time","Ze bezocht hem eenmaal per week."
"eens (bn)","one","Ze waren eensgezind.","single","Ze zongen uit één boek."
"eens (bw)","once","Kom eens hier.","ever","Heb je dat eens gedaan?"
"eentje","one","Ik neem er eentje.","a little one","Hij heeft nog maar eentje over."
"eenvoudig","simple","Het is een eenvoudig recept.","plain","Ze hielden het eenvoudig."
"eenzaam","lonely","Hij voelde zich eenzaam.","solitary","Ze zat eenzaam in de kamer."
"eer","honour","Het was een grote eer om uitgenodigd te worden.","respect","Hij voelt zich vereerd."
"eerder","earlier","Ze kwam eerder dan verwacht.","sooner","Hij wilde eerder weggaan."
"eerlijk","honest","Hij gaf een eerlijk antwoord.","fair","Ze was altijd eerlijk in zaken."
"eerst (bw)","first","Eerst moeten we eten.","at first","Hij keek eerst rond."
"eerst (telw)","first","Ze werden als eerste geholpen.","primary","Eerst in de rij is hij."
"eeuw","century","De twintigste eeuw is voorbij.","age","Ze leven al een eeuw."
"ei (het)","egg","Hij kookte een ei.","egg (food)","Ze bakte een ei."
"eigen","own","Ze hebben hun eigen huis.","personal","Hij schreef het op eigen kracht."
"eigenaar","owner","De eigenaar kwam langs.","proprietor","Ze sprak met de eigenaar van het café."
"eigenaardig","strange","Dat is een eigenaardig verhaal.","peculiar","Hij deed eigenaardig tegen mij."
"eigenlijk","actually","Ik wilde eigenlijk niet gaan.","really","Eigenlijk is het best leuk."
"eiland (het)","island","Ze wonen op een eiland.","isle","Het eiland is klein."
"eind (het)","end","Ze bereikten het eind van de weg.","finish","Het boek heeft een gelukkig eind."
"einde (het)","end","Aan het einde van de dag rusten we.","conclusion","Het einde van de film was spannend."
"eindelijk","finally","Ze kwamen eindelijk thuis.","at last","Eindelijk was het zover."
"eindigen","to end","De wedstrijd eindigde gelijk.","to finish","Ze eindigden het project op tijd."
"eis","demand","Ze stelden een eis aan de werkgever.","requirement","Zijn eis was redelijk."
"eisen","to demand","Ze eisten betere arbeidsvoorwaarden.","to require","Hij eist respect."
"elders","elsewhere","De informatie is elders te vinden.","somewhere else","Ze woont elders in het land."
"elektrisch","electric","Ze kochten een elektrische auto.","electrical","De gitaar is elektrisch."
"element (het)","element","Water is een belangrijk element.","component","Dit element is cruciaal."
"elk","each","Elk kind kreeg een cadeautje.","every","Ze bezochten elk huis in het dorp."
"elkaar","each other","Ze helpen elkaar graag.","one another","Ze keken elkaar aan."
"emmer","bucket","Hij vulde een emmer met water.","pail","Ze droegen een volle emmer."
"en","and","Jij en ik gaan naar huis.","plus","En toen gebeurde het."
"ene","one","Aan de ene kant ben ik blij.","single","De ene is groot, de andere klein."
"enerzijds","on the one hand","Enerzijds wil hij blijven.","for one part","Enerzijds ben ik moe, anderzijds niet."
"enig (bn/bw)","unique","Ze gaf een enig cadeau.","wonderful","Hij vond het enig om te zien."
"enig (onbep vnw)","some","Er is enig verschil.","few","Ze hebben enig bewijs."
"enigszins","somewhat","Ik ben enigszins teleurgesteld.","slightly","Hij was enigszins tevreden."
"enkel (bn/bw)","single","Ze droeg enkel een jas.","only","Hij had enkel een broodje."
"enkel (onbep. telw)","only","Er is enkel één antwoord juist.","just","Ze hebben enkel drie stoelen."
"enorm","huge","Het gebouw is enorm groot.","immense","Ze hadden enorm veel geluk."
"enzovoorts","and so on","Ze spraken over boeken, muziek enzovoorts.","etcetera","Er is koffie, thee, melk enzovoorts."
"er","there","Er ligt een boek op tafel.","here","Er komen veel mensen."
